month,day,hour,duration,text,summary,city,state,shape,year,pressure,temp,hail,heatindex,windchill,rain,vis,dewpt,thunder,fog,precip,wspd,tornado,hum,snow,wgust,wdire,conds
7,4,21,Approx. 3 minutes,"Orange light over cheat lake Orange light seen over cheat lake area  Moving slowly.  This is my third sighting. The first was out my window in the middle of the night (cheat lake area).  The second, two days later, over cheat lake...hovering.  The third was on the 4th of July from the Greer Mansion.  All are the same thing...hovering orange light. I have video.",wow is ks a hot bed and were just not seeing it or hearing about it,MORGANTOWN,WV,CIRCLE,2012,-0.386098564,1.446426892,0,0.048455696,NA,0,0.0642725,1.351222869,0,0,NA,-0.179698783,0,-0.208605949,0,NA,SSW,MOSTLY CLOUDY
7,30,23,10 minutes,"Saw about 20 to 30 lights flashing in sky.  Moving north.  No sound.  Look like small drones. ((NUFORC Note:  For some reason, witness indicates that the date is approximate.  Contact information is flawed.  Possible hoax??  PD))",winter nite wonder,MARLINTON,WV,LIGHT,2016,0.505698711,0.629104821,0,NA,NA,0,0.0642725,1.048673603,0,0,NA,0.008129116,0,0.790263631,0,NA,WEST,MOSTLY CLOUDY
7,30,23,10 minutes,Saw 20 to 30 objects fly over no sound.  Light all around then and in them.  Not too big.  Not in no. line.  look like orbits.  Not moving that fast.  like there looking for something.  Said this was a hoax.  I saw the mail seem like everyone wants to cover this up.,Years ago.  I don't remember the exact time and location but the description is as accurate as it gets. It was while I was visi,MARLINTON,WV,CIRCLE,2016,0.505698711,0.629104821,0,NA,NA,0,0.0642725,1.048673603,0,0,NA,0.008129116,0,0.790263631,0,NA,WEST,MOSTLY CLOUDY
2,7,11,5 minutes,Recorded 3 different orange balls flying from same direction.  No sound and disappeared after flying so far. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),"WWII plane about to crash into valley foothills, then appeared to turn into white orb and disappeared completely",HUNTINGTON,WV,CIRCLE,2017,-1.658221149,0.588238717,0,NA,NA,0,NA,0.020006097,0,0,NA,1.471209596,0,-1.064779875,0,1.294923966,SSW,CLEAR
9,4,18,10 sec,"silver sphere vanished before my eyes There was a silver sphere in the sky. we were sitting in the shade of a garage. The object would not have been seen if the building was not blocking out the sun. The object did not move. We observed a small dark cloud pass between the object and ourselves. once behind the cloud or puff of dark smoke (to me,the cloud seemed unnatural)both the cloud and the silver sphere vanished.",White Sphere materializes out of vapor trail.,WATERTOWN,WI,SPHERE,2010,-0.425442562,NA,0,NA,NA,0,0.0642725,NA,0,0,NA,1.105439476,0,NA,0,NA,WNW,CLEAR
10,21,19,15 minutes,"Unexplained lights over Lake Michigan and lake shore. I had just completed fueling my truck at the local mini mart.  The time was approximately 7:45pm and dark.  Weather conditions were overcast cloud ceiling approximately 1500 to 2000 feet.   I was traveling eastward when I observed 3 rather large rose colored or strawberry colored lights in a tight formation with the center light slightly higher.  I thought the color most unusual and altitude very low.  I initially thought perhaps the Coast Guard was having an exercise over lake Michigan.  I than observed a 4th object in the sky, this object appeared to be closer and larger moving very slowly in a southeasterly direction.  I followed down the road until I came to the east river preventing me going any further.  It was large I thought it may have been a helicopter but I've never seen a helicopter lit in such a manner.   The lights were not spotlights I'm sure of that.  The entire object was emitting the color.  I did not observe any navigational lights.  I'm guessing the object had to be 1/8 to  1/4 mile in front of me.  I shut the truck off rolled my window down and was expecting to hear the sound of a helicopter but it was silent.  I remember saying this was messed up! The first three objects appeared to be over Lake Michigan further out.  I restarted my truck drove to my home 4 blocks to the south and stood in my back yard and watched the first 3 objects climb quickly in a upward direction away from me.  I entered my home told the wife what I saw and went directly to my computer and entered flight radar 24 and checked my airspace and there were no aircraft in my towns vicinity.  It is also unusual to have low flying aircraft around Two Rivers W.I. due to the proximity to the 2 Nuke power plants literally only 5 miles north.  I'm 50 and can't logically explain what I saw!   I grew up next to 177th Fighter Group & a Coast Guard Air Station and never saw anything like that.","White/Silver Disc coming from the Atlantic stops in midair to change forms not once, not twice, not thrice, but FOUR TIMES!!",TWO RIVERS,WI,OVAL,2013,-0.372983899,-1.230302891,0,NA,0.173520037,1,0.0642725,-1.270870773,0,0,-0.092083779,0.739669356,0,-0.44643204,0,NA,WEST,LIGHT RAIN
8,15,21,30-45 seconds,"Solid white light follows jet, stops as fades out Saturday, August 15, 2015 - Approximately 09:44PM.   While over at a neighbor's party, myself, my neighbor, and at least one of his guests observed a commercial aircraft flying from west-northwest to east-southeast.  As we watched, a solid white light (which we at first assumed to be a satellite) lit up, moving in the exact same direction as and roughly 1-2 miles directly behind the commercial aircraft.  Both aircraft and light were slightly to the south of us, traveling from about west northwest to east southeast.   As one of the guests attempted to record it, the light began to dim - yet several seconds before disappearing completely, I witnessed it come to a complete stop!  Unknown if guest managed to succeed in recording object.  And NO - I had NOT been drinking.",White sphere traveling at extremely hight rate of speed toward the ground before curving up into the sky and disappearing with a flash.,STURGEON BAY,WI,CIRCLE,2015,0.190946732,0.629104821,0,NA,NA,0,0.0642725,0.947823847,0,0,NA,0.008129116,0,0.552437541,0,NA,SOUTH,CLEAR
9,7,20,10 minutes,"Yellow/Orange fireball type objects flying in triangular formation hovering just north of the La Crosse, WI airport over Lake Onalaska From approximately 20:20 to 20:28 I witnessed 12 fireball shaped objects in the sky that were flying in formation.  Four separate triangular shaped formations, which consisted of 3 fireball objects in each triangular formation.  At different times, one fireball object would break away from their triangular formation and move in very rapid movement; appearing to move horizontally away from their group of three fireballs and then rapidly rejoin their formation after 3 to 4 rapid movements away from their group of three.  The four groups of three went from a straight line and then formed a “V” shape almost like a flight of geese does.  I spoke with three other individuals who also saw it, but I also witnessed other people along my drive who were pointing to them in the sky.  This took place over Lake Onalaska, just north of the La Crosse airport, between La Crosse, WI and Onalaska, WI.  The fireballs moved too erratically and were shaped too round to be convent! ional, manmade aircraft.  They seemed to have the ability to cloak themselves because one minute they were visible and the next they were gone.  They had the ability to hover, but they also had the ability to move very quickly as well.  I’ve never witnessed anything like it.  I was driving south on Hwy 35 and attempted to call my wife on my cell phone who was at a friend’s house to see if she could see what I was witnessing and my cell phone was unable to get a signal to complete the call.  The area I was in always has a cellular signal available, but I can only speculate that the objects in the sky had the ability to disrupt the cellular signal, because once they were no longer visible, the cellular communications were restored.  When I made it to the location where my wife was at, three other people at the house saw what I was talking about; the strange thing is, from their location only three of the fireball objects were visible…again I can only speculate that from their! perspective the other objects were cloaked.  Cellular signals! were sp otty for the rest of the night.  The time of the sighting was during dusk or sunset lighting….again speculation that maybe that type of lighting makes it difficult for their objects to cloak themselves.  These objects were in my opinion definitely not manmade.","Winged-shaped transparent , no sounds orange yellow glow.",ONALASKA,WI,FIREBALL,2013,-0.674621212,1.487292996,0,0.021180368,NA,0,0.0642725,1.250373114,0,0,NA,-0.179698783,0,-0.44643204,0,NA,ENE,MOSTLY CLOUDY
6,15,14,,"crazy flying things! there was a tornado that had gone through my dads girlfriends back yard,her house sits on a hill so her back yard is at the bottem of the hill its almost like a huge creek that runs through it with a pond. but after the tornado there was no water left.  a couple of days later i came over there to help my dad clean up the mess. i had just gotten there and started to help cut some of the fallen trees, soon the neighbors had come over and started to ask us if we could help them place there camper on there land. they had there backs truned to the back yard and we were facing them looking towards the back yard. all of a sudden i saw this small bright metal disk flying in the sky but not that high it was lower, so it was just above the hill. then like 2 seconds later another one came, then a few more seconds later they came back crossed over each other and were gone.it was almost as if it was looking around to see what happend or something. i couldnt believe what i had seen so i didnt say ne thing but i looked at my dad and he was looking at me like he had seen it too. we didnt say nething while the neighbors were there becasue we didnt even believe it ourselves and im sure if we would have said something they would have thought we were crazy. but once we had gotten inside we both told each other what we had seen i was very freaked out and i still am. ((NUFORC Note:  Witness indicates that the date of the incident is approximate.  PD)) ((NUFORC Note:  Witness elects to remain totally anonymous;  provides no contact information.  PD))","White flash, traveling light, bright white light.",MOUNTAIN,WI,DISK,2007,-0.202493243,1.752922669,0,-0.060645616,NA,0,0.0642725,0.544424825,0,0,NA,0.186071337,0,-1.683127711,0,NA,SOUTH,SCATTERED CLOUDS
6,11,16,60-90 seconds,"Orb over central Wisconsin While sunbathing I observed an orb like object traveling at an incredible rate of speed in the sky above.  It had a dark - metallic look to it, and appeared to be extremely high in the atmosphere.  It moved in a perfect straight line across the sky, when it was towards the middle of the horizon, it looped around and made a small , perfect, circular  motion and then continued on its normal flight path. For the elevation it was at, it had to have been far faster than any aircraft, however, it wasn't so fast that it was a blur.  It cleared the entire horizon in about 60-90 seconds.  There was no blinking or flashing, no sounds, and no exhaust.  The sky was perfectly clear so I could observe it very well.  Also, although it was circular, when it was directly above my view, I notice it did have slightly contoured edges.  Kind of like a more compact, and curved boomerang, however, the ""wings"" or triangualr shape was very subtle and could only be observed when it was directly overhead.",white orb that lasts for 20 seconds and then disappears.,MIDDLETON,WI,SPHERE,2007,0.230290729,1.436210366,0,NA,NA,0,0.0642725,0.241875559,0,0,NA,0.917611577,0,-1.683127711,0,NA,SSE,CLEAR
11,6,14,20 minutes,"3 orb-like objects, one caught on video On November 6th at about 2pm central time, my wife and I were loading some items into a trailer in preparation for a move.  She sat down to take a short break and scanned the sky. Watching the sky when we are outside is and has been a habit we've adopted over the last 2-3 years.  A minute or two into her break she noticed an object in the northeastern sky and pointed it out to me. It was difficult to locate but I was able to do so by using environmental reference points such as trees and the house.  What I saw appeared to me at first like a bright star as it was a stationary object but considering the time of day and the fact it was sunny and 65 degrees made this an unlikely explanation.  I cannot stress enough how difficult it was to see this thing. Unless you had your eyes directly trained on it, it vanished from sight even though it seemed to be metallic and reflecting sunlight. If my wife wouldn't have spotted it there's no way I would have seen it.  At this moment, I ran inside to get my son to see it for himself, which he did but only after directing him where to look exactly.  We sat there staring at it when my wife pointed out two other objects approaching from the southeast.  One looked like the object to the north but moving slow and the other had a reddish color but seemed to bend and twist as it moved towards our direction.  It changed course a few times going left or right and moved at about half the speed of a mid to high altitude airliner appears to move.  These objects also seemed to ""disappear"" when not focused directly on them so when I looked away it took effort to find them once again. At this point I ran into the house to get my camcorder which is a Panasonic HC-W570.  I knew that I had 35-40 minutes of battery left but when I got outside and started to try and find the objects again, the battery indicator dropped all the down and I didn't even get a chance to record a single frame before it just died.  Disappointed, my family and I continued to watch.  The two moving o! bjects h ad fully vanished or faded but the original one still remained.  That's when I had the idea to grab the power supply for the camcorder and plug it in to an exterior outlet at the front door. It took me a few minutes to get close to zooming in on the UFO as the camera doesn't have a physical viewfinder, only the lcd screen.  Zooming into 90x also makes any handheld camerawork very unstable. Eventually, using the trees in the front of the house as a reference for locating the object in the sky, I got lucky for just a couple seconds to be able to get it in focus.  Almost as if it was playing hard to get, it would move just close enough to the tree in my line of sight for the camera to lose focus and shift to focusing on the branches.  So each time I would have to readjust my position by a few inches and start over again trying to find it in the sky.  After all this, the UFO faded into the color of the sky and ended our 20 minutes of excitement and bewilderment.","White and red blinking light moving across horizon, slowing down to a stop, then vanishing.",MEQUON,WI,CHANGING,2016,1.082744007,0.629104821,0,NA,NA,0,0.0642725,-0.060673707,0,0,NA,0.008129116,0,-1.255040748,0,NA,WSW,CLEAR
6,11,22,5 minutes,"Large fireball like object floating in the sky during a down pour. Driving home from Eau Claire to Menomonie, Westbound on hwy 94 around 10:15pm.  Started to down pour and I saw a large fire ball like object in the sky.   It stayed in the sky in the same spot for about 5 minutes.   After that it slowly faded away. I have seen objects like this before when I was about 15 years old, except there were many more lights in the sky and it lasted for at least an hour.",White light with undulating mist around it disappearing and leaving a cloud,MENOMONIE,WI,FIREBALL,2013,-0.779538539,0.55758914,0,NA,NA,1,0.0642725,0.998248725,0,0,NA,-0.911239024,0,0.837828849,0,NA,NORTH,LIGHT RAIN
10,26,18,5-10 minutes,"White light chased by two jets from airport. Bright white light flashing in the sky and moving at an incredible rate of speed, heading south east from Westport/Waunakee area.   It flew by going south and then just stopped completely in the air, and eventually started heading back north again.  Within a few minutes, two F-16-style jets took off from the nearby airport and went after it, but the white light then went straight up into the clouds and didn't come back.","Wife and I saw lg, round neon green disk moving in SE direction and returned.  It hovered, dropped, rose high, and darted to the NE.",MADISON,WI,LIGHT,2014,-0.740194542,0.016113267,0,NA,NA,1,0.0642725,-0.706112142,1,0,-0.092083779,0.373899236,0,-1.350171184,0,NA,ESE,LIGHT THUNDERSTORMS AND RAIN
7,10,16,15 min,"i have pictures of brilliant streaks of light, by the fastest moving object i ve ever seen. I was driving into town and saw light flashes across the sky. Went around the curve and 2 other cars were pulled over watching. I got my camera out and took some great photos of the brilliant streaks of light in the sky...going in all different directions.","((HOAX??))  Triangle, UFO (my opinion a scout-ship) very fast,absolut clear view, 3 diff. lights no noise no sound.",MADISON,WI,LIGHT,2007,-1.68445048,1.436210366,0,-0.469775537,NA,0,0.0642725,0.967993798,0,0,NA,1.836979716,0,-0.826953785,0,0.412587129,WEST,PARTLY CLOUDY
8,12,22,5 minutes,"Bright object came from space. My wife and I were boating back to our cabin after a late night of fishing on Legend Lake, we stopped our boat in the middle of the Lake after seeing a bright round object come from outer space. The object got bigger and brighter as it come from space. The object made several VERY fast moves heading west, then east, north and south with out changing course, just direction, it did impossible moves in the sky. After what seemed to be about a half an hour the object shot straight up into the sky until it dissapeared from our sight. We both looked at each other and said ""what was that""? We both couldn't believe what we witnessed, it couldn't have been anything man made doing what we witnessed. The object traveled impossible distances and directions in seconds.  We have seen objects do some very strange things in the sky from our cabin, mostly during early morning hours. Some objects appear with smaller objects, all different shapes and sizes.","White dot ""craft"" appears to fly from left to right after missile passes.  ((NUFORC Note:  Possible second stage rocket?  PD))",KESHENA,WI,CIRCLE,2007,0.545042709,0.629104821,0,NA,NA,0,0.0642725,0.947823847,0,0,NA,-0.357641004,0,0.552437541,0,NA,NE,CLEAR
8,8,21,5 minutes,"strange lights resembling fireballs seen in night sky On the evening of August 8, at approximately 9:40 p.m., my daughter was leaving my house, and I followed behind to walk her to her car.  She looked up as she was walking and commented “what’s that?”   I then looked up and saw three bright orange colored lights in the sky with two moving parallel together and another following behind as in a triangular shape.   As we continued to watch what I now call fireballs, I saw four more that seemed to originate from a lower altitude and climb higher following behind the original three lights.   As the lights climbed higher into the almost completely clear blue sky, each one took its turn fading into nothing.  One of the lights seemed to glow longer than the others before finally fading out.   As I watched all of this taking place, my daughter had taken out her cellphone and was videotaping.  The lights are visible on her video, but are not of the intensity that could be seen with the naked eye.   These lights made no sound.",white star shaped light moving around in the sky at speeds too slow to be a plane or moving star.,KAUKAUNA,WI,FIREBALL,2014,0.374552053,0.629104821,0,NA,NA,0,0.0642725,0.44357507,0,0,NA,-0.357641004,0,-0.493997258,0,NA,VARIABLE,SCATTERED CLOUDS
8,8,21,5 minutes,"2 witnesses saw 7-8 fireballs were flying in formation at 9:40 p.m. near Kaukauna, WI. At approximately 9:40 p.m. on the northside of Kaukauna, WI, (in the country), as I was going outside to leave my parent’s home, I  saw what appeared initially to be a formation of fireballs slowly moving through the sky.  I describe them as fireballs because they were orange in color and appeared to be glowing.  They were also soundless.   They were much larger than the stars and planets in the sky; if I had to estimate I would say they were the size of 10 stars together.   There were two of these objects in the lead side by side and another 5–6 that followed.   My mother and I first saw these objects in the east and they were traveling upward and northwest.  They appeared to be flying at the height of a low flying airplane.   After approximately 1-2 minutes of seeing them, they faded out, once they got to the same point in the sky, except for one near the middle of the formation, which lasted about 40 seconds longer.   The whole experience of seeing these flying objects lasted approximately 4-5 minutes. ((NUFORC Note:  We spoke via telephone with this witness, and she sounded to us to be quite serious-minded.  We suspect that she is an excellent witness.  She is a medical professional.  PD))",White - blue and red light seen in the eastern sky moved steadily up the sky in 30 minutes.,KAUKAUNA,WI,FIREBALL,2014,0.374552053,0.629104821,0,NA,NA,0,0.0642725,0.44357507,0,0,NA,-0.357641004,0,-0.493997258,0,NA,VARIABLE,SCATTERED CLOUDS
8,24,20,10 minutes,"String of 15 orange balls observed in Jackson, WI in the evening of Aug. 24, 2013 Location: East of Highway 45 at Highway 60. A loosely formed line of orange balls were observed traveling from south to north.  Speed and altitude appeared to be consistent with what would be expected from light aircraft.  Light intensity of all members of the formation remained consistent (no flashing or pulsating).  Orange color was deeper than that seen in Sodium vapor street lights.  Movement of the lights within their formation would best be characterized as ""undisciplined"".  No sound came from these objects.  Objects did not seem to have any effect on surrounding environment (It was just like they were passing through).",White starlike object that pulsed twice while changing directions,JACKSON,WI,FORMATION,2013,0.72864803,0.629104821,0,NA,NA,0,0.0642725,0.746124336,0,0,NA,-0.357641004,0,0.076785359,0,NA,SSE,CLEAR
9,28,22,3-5 Min.,"09-28-09 Green Bay WI, Triangle Shape Object, 3 Lights on one side, One Light on the bottom side on the other, and red light in center. On 09-28-09, my roommate and I left the apartment to quick run to the grocery store downtown Green Bay, WI. Driving down Main Street, my roommate pointed out the flying object that kept coming down from the sky closer and closer. We quick swung into a parking lot, and I got out of the car… the UFO was approximately only 60- 80 feet up. My roommate observed the UFO closely. As well as I did, but my adrenaline was going… and I told her to draw out what exactly she saw right the second we got back home. Around the time of 22:00, we BOTH saw a triangle shaped UFO, Three Lights on one side of the triangle, another light on the bottom of the triangle, and a red light in the center. It made no noise what so ever, and stopped in the air for about 10-15 seconds, as if it was just floating. We quickly went online after my roommate drew her sketch of the mystery we saw that night, but we knew what we saw, and we found drawings online of the SAME EXACT IDENTICAL object that we saw. Never have I believed in UFO’s or even had an interest in UFO’s in any years of my life; I know that what I saw that night was unlike anything I’ve ever seen.",While watching fireworks in the night sky I seen 3  slow moving objects going across the sky. I pointed them out to my granddaughter an,GREEN BAY,WI,TRIANGLE,2009,-1.474615827,-0.668393967,0,NA,NA,1,0.0642725,-0.48424268,0,0,-0.092083779,1.471209596,0,0.076785359,0,0.763624365,NW,LIGHT RAIN
6,15,23,10 minutes,Orange object viewed at night near Lake michigan west of Green Bay. It was a single glowing orange circular object that we noticed directly above us.  It then over a few minutes moved eastward still glowing orange.  It looked almost like orange fire coming from a central solid orange color.  It seemed like it was far up in the sky the whole time.  As it started to get toward the horizon my friend noticed what looked like an orange speck fell off. It then moved over the horizon and we lost site of it. We are 2 teenage boys that were on a walk at night. ((NUFORC Note:  Witness indicates that date of incident is approximate.  PD)),White orb outside of plane on flight from Atlanta to Chicago.,GREEN BAY,WI,CIRCLE,2008,-1.054946521,0.077412423,0,NA,NA,1,0.0642725,0.463745021,0,0,-0.055151095,0.008129116,0,0.647567977,0,NA,WEST,LIGHT RAIN
5,20,14,60 seconds,"Sighting of huge yellowish triangular slow moving craft I was doing yard work in my backyard.  It was right before storms were moving into the area, but there was somewhat of a break in the clouds.  The triangular craft was extremely slow moving-maybe 30-40 mph at the most, and did not make any sound that I could hear.  It did not leave any type of trail. It took approximately 60 seconds for it to move across the break in the clouds, and disappear into the clouds out my sight.  The craft was somewhat golden/yellowish in color, but the color was flat and not metallic, and I did not notice any lights on it.  It had all kinds of venting/pipes of some sort on the back end with longer ones towards the outer edges.  It was huge-maybe 3-4 times the size of my home.  It must have been only 600-700 feet above ground, and seemed to be barely clearing the homes. I screamed at my neighbors who were outside gardening to look up at the sky.  They turned to look where I was pointing to, and shook their heads as if they saw it, but they didn’t seem to get very excited about it. Later I asked around town if anyone else had seen the craft, but no one had and there were no reports of it on the news.  It's very frustrating for me that no one seems to believe me.",White solid sphere hovering above the trees in WA state,FOND DU LAC,WI,TRIANGLE,2012,-0.792653205,1.548592151,0,-0.578876849,NA,0,0.0642725,0.463745021,0,0,NA,2.202749836,0,-1.587997275,0,1.294923966,SSW,PARTLY CLOUDY
